Date,Samsung,LG
2021-01-04,85716,154331
2021-01-05,88865,159667
2021-01-06,84614,158887
2021-01-07,85110,153349
2021-01-08,80834,154348
2021-01-09,88798,151982
2021-01-10,85001,159383
2021-01-11,86485,144433
2021-01-12,81785,140939
2021-01-13,86892,147023
2021-01-14,80791,154344
2021-01-15,88335,140762
2021-01-16,87186,159336
2021-01-17,85895,157979
2021-01-18,80187,152247
2021-01-19,83350,147469
2021-01-20,89417,142140
2021-01-21,83652,158914
2021-01-22,84348,158381
2021-01-23,87682,141776
2021-01-24,80158,150039
2021-01-25,82517,143439
2021-01-26,89533,141785
2021-01-27,87948,146889
2021-01-28,86338,151935
2021-01-29,80290,144641
2021-01-30,80989,142145
2021-01-31,88700,156350
2021-02-01,86400,147878
2021-02-02,86075,143260
2021-02-03,87681,145533
2021-02-04,89728,140436
2021-02-05,89271,149787
2021-02-06,84380,155108
2021-02-07,81880,143008
2021-02-08,82296,145450
2021-02-09,86412,156883
2021-02-10,83877,157706
2021-02-11,81649,157568
2021-02-12,81290,157309
2021-02-13,88362,143530
2021-02-14,87329,140038
2021-02-15,85475,150096
2021-02-16,88756,146728
2021-02-17,85733,150222
2021-02-18,80110,143761
2021-02-19,89018,159776
2021-02-20,83981,157176
2021-02-21,80556,148182
2021-02-22,82615,148549
2021-02-23,81098,146473
2021-02-24,82816,154521
2021-02-25,85307,158720
2021-02-26,82707,145216
2021-02-27,83600,157584
2021-02-28,83341,143862
2021-03-01,84329,151046
2021-03-02,86168,149456
2021-03-03,82759,145989
2021-03-04,81437,159814
2021-03-05,84921,151742
2021-03-06,82764,141765
2021-03-07,84134,140333
2021-03-08,85149,159615
2021-03-09,86946,143610
2021-03-10,81861,155482
2021-03-11,87724,157377
2021-03-12,80003,144636
2021-03-13,84349,142503
2021-03-14,86171,154691
2021-03-15,82316,151326
2021-03-16,85165,149932
2021-03-17,82430,147334
2021-03-18,81992,143642
2021-03-19,86513,152282
2021-03-20,84202,140754
2021-03-21,82101,151975
2021-03-22,85699,142057
2021-03-23,83359,150180
2021-03-24,86350,145500
2021-03-25,87663,156580
2021-03-26,89389,142694
2021-03-27,80640,144007
2021-03-28,88122,156783
2021-03-29,87733,154935
2021-03-30,81384,142384
2021-03-31,86351,149885
2021-04-01,88486,147237
2021-04-02,86721,140389
2021-04-03,82305,156029
2021-04-04,80379,148314
2021-04-05,85828,143601
2021-04-06,84998,144939
2021-04-07,86952,145862
2021-04-08,81940,140319
2021-04-09,86216,142787
2021-04-10,80046,143259
2021-04-11,86656,144622
2021-04-12,88081,151847
2021-04-13,88665,147842
